"Code","Country","Population"
"MNG","Mongolia",3170208
"MNP","Northern Mariana Islands",56882
"MOZ","Mozambique",29495962
"MRT","Mauritania",4403319
"MSR","Montserrat",NA
"MTQ","Martinique",NA
"MUS","Mauritius",1265303
"MWI","Malawi",18143315
"MYS","Malaysia",31528585
"MYT","Mayotte",NA
"NAM","Namibia",2448255
"NCL","New Caledonia",284060
"NER","Niger",22442948
"NFK","Norfolk Island",NA
"NGA","Nigeria",195874740
"NIC","Nicaragua",6465513
"NIU","Niue",NA
"NLD","Netherlands",17231624
"NOR","Norway",5311916
"NPL","Nepal",28087871
"NRU","Nauru",12704
"NZL","New Zealand",4841000
"OMN","Oman",4829483
"PAK","Pakistan",212215030
"PAN","Panama",4176873
"PCN","Pitcairn",NA
"PER","Peru",31989256
"PHL","Philippines",106651922
"PLW","Palau",17907
"PNG","Papua New Guinea",8606316
"POL","Poland",37974750
"PRI","Puerto Rico",3195153
"PRK","North Korea",25549819
"PRT","Portugal",10283822
"PRY","Paraguay",6956071
"PSE","Palestine, State of",4569087
"PYF","French Polynesia",277679
"QAT","Qatar",2781677
"REU","Réunion",NA
"ROU","Romania",19466145
"RUS","Russian Federation",144478050
"RWA","Rwanda",12301939
"SAU","Saudi Arabia",33699947
"SDN","Sudan",41801533
"SEN","Senegal",15854360
"SGP","Singapore",5638676
"SGS","South Georgia and the South Sandwich Islands",NA
"SHN","Saint Helena, Ascension and Tristan da Cunha",NA
"SJM","Svalbard and Jan Mayen",NA
"SLB","Solomon Islands",652858
"SLE","Sierra Leone",7650154
"SLV","El Salvador",6420744
"SMR","San Marino",33785
"SOM","Somalia",15008154
"SPM","Saint Pierre and Miquelon",NA
"SRB","Serbia",6982604
"SSD","South Sudan",10975920
"STP","Sao Tome and Principe",211028
"SUR","Suriname",575991
"SVK","Slovakia",5446771
"SVN","Slovenia",2073894
"SWE","Sweden",10175214
"SWZ","Eswatini",1136191
"SXM","Sint Maarten (Dutch part)",40654
"SYC","Seychelles",96762
"SYR","Syrian Arab Republic",16906283
"TCA","Turks and Caicos Islands",37665
"TCD","Chad",15477751
"TGO","Togo",7889094
"THA","Thailand",69428524
"TJK","Tajikistan",9100837
"TKL","Tokelau",NA
"TKM","Turkmenistan",5850908
"TLS","Timor-Leste",1267972
"TON","Tonga",103197
"TTO","Trinidad and Tobago",1389858
"TUN","Tunisia",11565204
"TUR","Turkey",82319724
"TUV","Tuvalu",11508
"TWN","Taiwan",NA
"TZA","Tanzania, United Republic of",56318348
"UGA","Uganda",42723139
"UKR","Ukraine",44622516
"UMI","United States Minor Outlying Islands",NA
"URY","Uruguay",3449299
"USA","United States",326687501
"UZB","Uzbekistan",32955400
"VAT","Vatican City",NA
"VCT","Saint Vincent and the Grenadines",110210
"VEN","Venezuela (Bolivarian Republic of)",28870195
"VGB","Virgin Islands (British)",29802
"VIR","Virgin Islands (U.S.)",106977
"VNM","Viet Nam",95540395
"VUT","Vanuatu",292680
"WLF","Wallis and Futuna",NA
"WSM","Samoa",196130
"YEM","Yemen",28498687
"ZAF","South Africa",57779622
"ZMB","Zambia",17351822
"ZWE","Zimbabwe",14439018
"RKS","Kosovo",NA
