"continent","CountryName","CountryCode"
"Europe","Guernsey","GGY"
"Africa","Guinea","GIN"
"Africa","Guinea-Bissau","GNB"
"Americas","Guyana","GUY"
"Americas","Haiti","HTI"
NA,"Heard & McDonald Islands","HMD"
"Europe","Vatican City","VAT"
"Americas","Honduras","HND"
"Asia","Hong Kong SAR China","HKG"
"Europe","Hungary","HUN"
"Europe","Iceland","ISL"
"Asia","India","IND"
"Asia","Indonesia","IDN"
"Asia","Iran","IRN"
"Asia","Iraq","IRQ"
"Europe","Ireland","IRL"
"Europe","Isle of Man","IMN"
"Asia","Israel","ISR"
"Europe","Italy","ITA"
"Americas","Jamaica","JAM"
"Asia","Japan","JPN"
"Europe","Jersey","JEY"
"Asia","Jordan","JOR"
"Asia","Kazakhstan","KAZ"
"Africa","Kenya","KEN"
"Oceania","Kiribati","KIR"
"Asia","Kuwait","KWT"
"Asia","Kyrgyzstan","KGZ"
"Asia","Laos","LAO"
"Europe","Latvia","LVA"
"Asia","Lebanon","LBN"
"Africa","Lesotho","LSO"
"Africa","Liberia","LBR"
"Africa","Libya","LBY"
"Europe","Liechtenstein","LIE"
"Europe","Lithuania","LTU"
"Europe","Luxembourg","LUX"
"Asia","Macau SAR China","MAC"
"Africa","Madagascar","MDG"
"Africa","Malawi","MWI"
"Asia","Malaysia","MYS"
"Asia","Maldives","MDV"
"Africa","Mali","MLI"
"Europe","Malta","MLT"
"Oceania","Marshall Islands","MHL"
"Americas","Martinique","MTQ"
"Africa","Mauritania","MRT"
"Africa","Mauritius","MUS"
"Africa","Mayotte","MYT"
"Americas","Mexico","MEX"
"Oceania","Micronesia (Federated States of)","FSM"
"Europe","Monaco","MCO"
"Asia","Mongolia","MNG"
"Europe","Montenegro","MNE"
"Americas","Montserrat","MSR"
"Africa","Morocco","MAR"
"Africa","Mozambique","MOZ"
"Asia","Myanmar (Burma)","MMR"
"Africa","Namibia","NAM"
"Oceania","Nauru","NRU"
"Asia","Nepal","NPL"
"Europe","Netherlands","NLD"
"Oceania","New Caledonia","NCL"
"Oceania","New Zealand","NZL"
"Americas","Nicaragua","NIC"
"Africa","Niger","NER"
"Africa","Nigeria","NGA"
"Oceania","Niue","NIU"
"Oceania","Norfolk Island","NFK"
"Oceania","Northern Mariana Islands","MNP"
"Europe","Norway","NOR"
"Asia","Oman","OMN"
"Asia","Pakistan","PAK"
"Oceania","Palau","PLW"
"Asia","Palestinian Territories","PSE"
"Americas","Panama","PAN"
"Oceania","Papua New Guinea","PNG"
"Americas","Paraguay","PRY"
"Americas","Peru","PER"
"Asia","Philippines","PHL"
"Oceania","Pitcairn Islands","PCN"
"Europe","Poland","POL"
"Europe","Portugal","PRT"
"Americas","Puerto Rico","PRI"
"Asia","Qatar","QAT"
"Asia","South Korea","KOR"
"Europe","Moldova","MDA"
"Africa","Réunion","REU"
"Europe","Romania","ROU"
"Europe","Russia","RUS"
"Africa","Rwanda","RWA"
"Americas","St. Barthélemy","BLM"
"Africa","St. Helena","SHN"
"Americas","St. Kitts & Nevis","KNA"
"Americas","St. Lucia","LCA"
"Americas","Saint Martin (French part)","MAF"
"Americas","St. Pierre & Miquelon","SPM"
"Americas","St. Vincent & Grenadines","VCT"
"Oceania","Samoa","WSM"
"Europe","San Marino","SMR"
"Africa","São Tomé & Príncipe","STP"
"Asia","Saudi Arabia","SAU"
"Africa","Senegal","SEN"
"Europe","Serbia","SRB"
"Africa","Seychelles","SYC"
"Africa","Sierra Leone","SLE"
"Asia","Singapore","SGP"
"Americas","Sint Maarten","SXM"
"Europe","Slovakia","SVK"
"Europe","Slovenia","SVN"
"Oceania","Solomon Islands","SLB"
"Africa","Somalia","SOM"
"Africa","South Africa","ZAF"
NA,"South Georgia & South Sandwich Islands","SGS"
"Africa","South Sudan","SSD"
"Europe","Spain","ESP"
"Asia","Sri Lanka","LKA"
"Africa","Sudan","SDN"
"Americas","Suriname","SUR"
"Europe","Svalbard & Jan Mayen","SJM"
"Africa","Swaziland","SWZ"
"Europe","Sweden","SWE"
"Europe","Switzerland","CHE"
"Asia","Syria","SYR"
"Asia","Taiwan","TWN"
"Asia","Tajikistan","TJK"
"Asia","Thailand","THA"
"Europe","Macedonia","MKD"
"Asia","Timor-Leste","TLS"
"Africa","Togo","TGO"
"Oceania","Tokelau","TKL"
"Oceania","Tonga","TON"
"Americas","Trinidad & Tobago","TTO"
"Africa","Tunisia","TUN"
"Asia","Turkey","TUR"
"Asia","Turkmenistan","TKM"
"Americas","Turks & Caicos Islands","TCA"
"Oceania","Tuvalu","TUV"
"Africa","Uganda","UGA"
"Europe","Ukraine","UKR"
"Asia","United Arab Emirates","ARE"
"Europe","United Kingdom","GBR"
"Africa","Tanzania","TZA"
NA,"United States Minor Outlying Islands (the)","UMI"
"Americas","United States","USA"
"Americas","Uruguay","URY"
"Asia","Uzbekistan","UZB"
"Oceania","Vanuatu","VUT"
"Americas","Venezuela","VEN"
"Asia","Vietnam","VNM"
"Americas","British Virgin Islands","VGB"
"Americas","U.S. Virgin Islands","VIR"
"Oceania","Wallis & Futuna","WLF"
"Africa","Western Sahara","ESH"
"Asia","Yemen","YEM"
"Africa","Zambia","ZMB"
"Africa","Zimbabwe","ZWE"
